Evaluation time: 2026-05-06T08:54:37.091684
Samples: 10100
Test Loss: 0.8303
Test Accuracy: 0.7745

Class, Precision, Recall, F1, Support
apple_pie, 0.6813, 0.5124, 0.5849, 121
baby_back_ribs, 0.7619, 0.7619, 0.7619, 105
baklava, 0.8600, 0.8269, 0.8431, 104
beef_carpaccio, 0.9406, 0.7983, 0.8636, 119
beef_tartare, 0.7156, 0.7222, 0.7189, 108
beet_salad, 0.7700, 0.7333, 0.7512, 105
beignets, 0.9368, 0.8396, 0.8856, 106
bibimbap, 0.8110, 0.9450, 0.8729, 109
bread_pudding, 0.6636, 0.6134, 0.6376, 119
breakfast_burrito, 0.6712, 0.4900, 0.5665, 100
bruschetta, 0.7391, 0.5730, 0.6456, 89
caesar_salad, 0.8043, 0.8409, 0.8222, 88
cannoli, 0.7670, 0.9080, 0.8316, 87
caprese_salad, 0.8020, 0.8526, 0.8265, 95
carrot_cake, 0.8219, 0.7407, 0.7792, 81
ceviche, 0.7168, 0.7788, 0.7465, 104
cheese_plate, 0.6364, 0.8105, 0.7130, 95
cheesecake, 0.9545, 0.6495, 0.7730, 97
chicken_curry, 0.7442, 0.6598, 0.6995, 97
chicken_quesadilla, 0.7826, 0.7059, 0.7423, 102
chicken_wings, 0.7500, 0.7632, 0.7565, 114
chocolate_cake, 0.7544, 0.7611, 0.7577, 113
chocolate_mousse, 0.4211, 0.5957, 0.4934, 94
churros, 0.8491, 0.8911, 0.8696, 101
clam_chowder, 0.8902, 0.7604, 0.8202, 96
club_sandwich, 0.8200, 0.8367, 0.8283, 98
crab_cakes, 0.6989, 0.6250, 0.6599, 104
creme_brulee, 0.8681, 0.8977, 0.8827, 88
croque_madame, 0.8115, 0.8609, 0.8354, 115
cup_cakes, 0.7350, 0.8600, 0.7926, 100
deviled_eggs, 0.8889, 0.9412, 0.9143, 102
donuts, 0.6923, 0.7826, 0.7347, 92
dumplings, 0.9294, 0.8681, 0.8977, 91
edamame, 0.9775, 0.9775, 0.9775, 89
eggs_benedict, 0.7759, 0.8911, 0.8295, 101
escargots, 0.8037, 0.8269, 0.8152, 104
falafel, 0.7872, 0.6727, 0.7255, 110
filet_mignon, 0.6196, 0.5534, 0.5846, 103
fish_and_chips, 0.7810, 0.7885, 0.7847, 104
foie_gras, 0.5579, 0.5699, 0.5638, 93
french_fries, 0.7714, 0.8804, 0.8223, 92
french_onion_soup, 0.8478, 0.8125, 0.8298, 96
french_toast, 0.6216, 0.6449, 0.6330, 107
